names,lat,lon,geometry
Pashmina Waterfront ,13.0244407,77.7116346,POINT (77.7116346 13.0244407)
Purva Palm Beach ,13.0631903,77.6626025,POINT (77.66260249999999 13.0631903)
Prestige Song Of The South ,12.8620814,77.6137471,POINT (77.6137471 12.8620814)
Skylark Ithaca ,13.0124263,77.7355337,POINT (77.73553369999999 13.0124263)
Salarpuria Sattva Laurel Heights ,13.060724,77.507677,POINT (77.507677 13.060724)
Sumo Sonnet ,12.889868,77.6488791,POINT (77.6488791 12.889868)
Kritan Ira ,12.8211271,77.660999,POINT (77.660999 12.8211271)
MDVR Byrathi Residency ,13.0536883,77.6572283,POINT (77.6572283 13.0536883)
Candeur Landmark ,12.9218714,77.7373607,POINT (77.7373607 12.9218714)
Sterling Ascentia ,12.92889,77.681633,POINT (77.68163299999999 12.92889)
Vaishnavi Terraces ,12.904254,77.599514,POINT (77.599514 12.904254)
Sobha Dream Acres ,12.9391021,77.7376639,POINT (77.7376639 12.9391021)
PSR Krish Kamal ,12.8404406,77.6435767,POINT (77.6435767 12.8404406)
GP North Avenue ,13.0827637,77.622828,POINT (77.622828 13.0827637)
Hiren High Cliff ,12.9124433,77.6517185,POINT (77.6517185 12.9124433)
JR Nexus ,12.7715636,77.7018348,POINT (77.7018348 12.7715636)
G Corp The Icon ,13.0473654,77.6254839,POINT (77.62548389999999 13.0473654)
Mahendra Aarna ,12.8348265,77.6910718,POINT (77.6910718 12.8348265)
Mittal Elanza ,13.1036043,77.6208274,POINT (77.6208274 13.1036043)
Mantri Energia ,13.0543825,77.6194839,POINT (77.61948389999999 13.0543825)
Prestige Misty Waters phase 1 ,13.046145,77.601622,POINT (77.60162199999999 13.046145)
Sobha Heritage ,12.9312565,77.5290121,POINT (77.5290121 12.9312565)
The County Address ,12.8807869,77.7875912,POINT (77.78759119999999 12.8807869)
Rohan Akriti ,12.8904448,77.538187,POINT (77.53818699999999 12.8904448)
Salarpuria Sattva Divinity ,12.9403192,77.5252055,POINT (77.5252055 12.9403192)
Casagrand Lorenza ,13.099928,77.6331637,POINT (77.6331637 13.099928)
Premier Inspira Maplewood ,12.9054239,77.6993194,POINT (77.69931939999999 12.9054239)
Orchid Whitefield ,12.9643023,77.7575018,POINT (77.7575018 12.9643023)
The Central Regency Address ,12.9210342,77.6706402,POINT (77.67064019999999 12.9210342)
Ahad Excellencia ,12.8825179,77.6905147,POINT (77.69051469999999 12.8825179)
Janaadhar Shubha Phase II ,12.7379428,77.7343688,POINT (77.7343688 12.7379428)
Keerthi Royal Palms ,12.8622252,77.6605814,POINT (77.6605814 12.8622252)
Prestige Pine Wood ,12.9312272,77.6345867,POINT (77.63458670000001 12.9312272)
Durga Petals ,12.9757699,77.6972803,POINT (77.6972803 12.9757699)
Assetz Marq ,13.0244172,77.7619875,POINT (77.76198749999999 13.0244172)
Mana Tropicale ,12.8800875,77.6928716,POINT (77.69287159999999 12.8800875)
DSR Waterscape ,13.0452085,77.6794603,POINT (77.6794603 13.0452085)
Tata New Haven ,13.1023847,77.441715,POINT (77.441715 13.1023847)
Total Environment Learning To Fly ,12.9054503,77.5830406,POINT (77.58304059999999 12.9054503)
Hiranandani Queensgate ,12.8740261,77.6100293,POINT (77.61002929999999 12.8740261)
Arge Urban Bloom ,13.0259697,77.5329519,POINT (77.5329519 13.0259697)
Prestige Bagamane Temple Bells ,12.9307632,77.5217595,POINT (77.5217595 12.9307632)
Brigade Exotica - Azure Tower ,13.0443079,77.7450129,POINT (77.74501289999999 13.0443079)
Celebrity Serenity ,12.795757,77.650302,POINT (77.650302 12.795757)
Prestige Tranquility ,13.0655118,77.743832,POINT (77.743832 13.0655118)
Smart Homz Blue Bells ,12.7851117,77.7770002,POINT (77.7770002 12.7851117)
Brigade Caladium ,13.0559515,77.596732,POINT (77.596732 13.0559515)
S2 Homes The Water Grove ,12.8368015,77.6871048,POINT (77.6871048 12.8368015)
Assetz 63 Degree East ,12.8853283,77.7047401,POINT (77.7047401 12.8853283)
CoEvolve Northern Star ,13.081174,77.625001,POINT (77.625001 13.081174)
Purva Sunflower ,12.9758193,77.5570922,POINT (77.5570922 12.9758193)
Upkar Oakland ,12.7813035,77.7622283,POINT (77.7622283 12.7813035)
Sashank Advaith ,12.8917332,77.6816863,POINT (77.6816863 12.8917332)
SMD Altezz ,12.99911,77.7526073,POINT (77.75260729999999 12.99911)
Chowriappa Constellation ,13.0547139,77.6465134,POINT (77.6465134 13.0547139)
The Phoenix Mills Kessaku ,13.0107038,77.5536372,POINT (77.5536372 13.0107038)
Orchid Greens ,13.0879221,77.6554441,POINT (77.6554441 13.0879221)
Embassy Boulevard ,13.1479839,77.6389992,POINT (77.6389992 13.1479839)
Century Breeze ,13.0958355,77.6011008,POINT (77.6011008 13.0958355)
Prestige Royale Gardens ,13.1395085,77.5706395,POINT (77.57063950000001 13.1395085)
Brigade Panorama ,12.8870631,77.4537078,POINT (77.45370779999999 12.8870631)
SJR Palazza City ,12.9046539,77.6984995,POINT (77.6984995 12.9046539)
Garuda Vista ,12.9852446,77.6867056,POINT (77.6867056 12.9852446)
Sri Nandana Royal ,12.8337182,77.7014436,POINT (77.70144359999999 12.8337182)
Vaishnavi North 24 ,13.052728,77.597305,POINT (77.59730499999999 13.052728)
Prestige West Woods ,12.9776982,77.5647402,POINT (77.5647402 12.9776982)
Bren Champions Square ,12.901324,77.7085945,POINT (77.70859449999999 12.901324)
Beverly Hills ,12.8912793,77.5392322,POINT (77.5392322 12.8912793)
Arge Helios ,13.0654977,77.6515365,POINT (77.65153649999999 13.0654977)
SOBHA Arena - The Park ,12.8642033,77.53674,POINT (77.53673999999999 12.8642033)
GK Tropical Springs ,12.9846992,77.7761359,POINT (77.7761359 12.9846992)
Gravity Nakshatra ,13.073371,77.8041139,POINT (77.80411389999999 13.073371)
Brigade Cosmopolis - Phase 1 & 2 ,12.9621546,77.7461421,POINT (77.7461421 12.9621546)
Gopalan Olympia ,12.8753163,77.4501207,POINT (77.4501207 12.8753163)
Legacy Cirocco ,13.087229,77.596148,POINT (77.596148 13.087229)
Vajram Tiara ,13.1377116,77.5693818,POINT (77.5693818 13.1377116)
Century Ethos ,13.0616882,77.5950079,POINT (77.5950079 13.0616882)
Frontier Heights ,12.9055155,77.6756456,POINT (77.6756456 12.9055155)
Whitestone Rosario ,13.013394,77.735935,POINT (77.735935 13.013394)
Casagrand Royce ,13.0095427,77.7301136,POINT (77.7301136 13.0095427)
Sowparnika Purple Rose ,13.0996181,77.8114343,POINT (77.81143430000002 13.0996181)
Casagrand Esmeralda ,12.8356242,77.7668846,POINT (77.7668846 12.8356242)
